Program ID,Broad Field,Field,Institution Name,Program Name,Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings,Count of Student Activities
20019712,Agricultural Sciences,Food Science,University of Georgia,Food Science,3,1,1,1,1,3,3,1,1,1,3,1,1,3,3,3,1,3,18
20039006,Agricultural Sciences,Food Science,University of Illinois At Urbana-Champaign,Food Science and Human Nutrition,2,1,3,3,3,3,2,4,2,4,4,4,3,3,3,2,3,3,14
20050218,Agricultural Sciences,Food Science,University of Maryland College Park,Food Science,3,3,1,1,4,1,2,3,3,3,3,3,1,1,3,4,3,3,16
20047946,Agricultural Sciences,Food Science,University of Massachusetts Amherst,Food Science,1,1,1,4,4,1,3,4,1,3,1,1,1,1,1,4,1,3,14
20039909,Agricultural Sciences,Food Science,University of Minnesota-Twin Cities,Food Science,3,1,1,1,4,1,2,1,3,,2,1,1,1,1,1,1,2,16
20025379,Agricultural Sciences,Food Science,University of Missouri - Columbia,Food Science,3,1,1,4,4,1,1,1,1,3,1,1,1,1,3,3,1,3,16
20017109,Agricultural Sciences,Food Science,University of Nebraska - Lincoln,Food Science & Technology,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,2,1,2,18
20045812,Agricultural Sciences,Food Science,University of Tennessee,Food Science and Technology,1,1,1,1,1,1,2,4,4,1,1,1,1,4,1,4,1,3,14
20027474,Agricultural Sciences,Food Science,University of Vermont,"Animal, Nutrition, and Food Sciences",3,1,1,1,1,1,1,1,4,1,1,1,3,3,1,3,1,3,17
20030607,Agricultural Sciences,Food Science,University of Wisconsin-Madison,Food Science,3,1,3,3,2,1,3,3,3,3,1,1,3,3,3,2,3,3,18
20044554,Agricultural Sciences,Food Science,Virginia Polytechnic Institute And State University,Food Science and Technology,3,1,1,3,3,1,2,3,2,3,1,1,1,1,1,3,1,1,18
20058443,Agricultural Sciences,Food Science,Washington State University,Food Science,3,3,1,1,1,3,3,3,3,3,1,1,3,3,3,3,1,3,18
20037891,Agricultural Sciences,Forestry and Forest Sciences,Auburn University,Forestry,3,1,1,4,4,1,2,1,4,1,3,1,1,1,1,2,1,2,15
20016867,Agricultural Sciences,Forestry and Forest Sciences,Clemson University,Forest Resources,3,3,1,1,4,3,1,3,4,1,1,1,1,1,1,4,3,3,15
20056364,Agricultural Sciences,Forestry and Forest Sciences,Colorado State University,"Forest, Rangeland, and Watershed Stewardship",3,1,3,4,4,4,2,3,4,2,2,4,1,1,2,4,1,4,11
20016469,Agricultural Sciences,Forestry and Forest Sciences,Iowa State University,Forestry,1,1,1,1,4,1,2,4,1,3,3,1,1,1,1,2,1,3,16
20046950,Agricultural Sciences,Forestry and Forest Sciences,Michigan State University,Forestry,1,1,1,1,1,1,3,4,1,1,1,1,3,1,1,3,1,3,17
20058100,Agricultural Sciences,Forestry and Forest Sciences,Louisiana State University And Agricultural And Mechanical College,Forestry,3,1,1,1,1,3,3,4,3,1,1,4,1,1,3,2,3,2,16
20022343,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Science,3,1,1,4,4,3,2,3,2,3,4,3,1,1,4,4,4,3,12
20022356,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Molecular Genetics and Biotechnology,3,1,1,4,4,3,1,3,4,3,4,3,1,1,4,4,4,3,11
20024477,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forest Products (degree: PhD in Forest Resources),3,1,1,1,1,3,3,1,1,3,3,3,3,3,3,3,3,2,18
20024480,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forestry (degree: PhD in Forest Resources),3,3,3,,,1,3,1,,3,1,1,1,,1,,1,2,13
20041447,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Forestry,3,1,3,1,1,3,3,3,3,3,3,3,3,3,3,4,3,3,17
20041683,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Wood and Paper Science,3,3,3,1,1,1,1,1,3,3,1,1,1,1,1,2,1,3,18
20018603,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Engineering,3,1,1,1,1,3,2,3,4,1,4,4,3,3,2,2,4,3,14
20018616,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Science,3,1,1,3,3,3,2,1,4,3,4,4,1,1,4,2,2,3,14
20018629,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Resources,3,1,3,3,3,1,4,3,2,3,2,2,3,3,2,2,4,3,16
20018742,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Wood Science,3,1,1,1,1,1,4,1,4,1,4,4,1,1,2,2,4,3,13
20031415,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Forest Resources,2,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,3,3,18
20031800,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Wildlife and Fisheries Science,2,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,3,3,18
20055886,Agricultural Sciences,Forestry and Forest Sciences,Purdue University Main Campus,Forestry & Natural Resources,3,1,3,1,3,3,3,3,3,3,1,1,1,3,1,1,3,3,18
20021742,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Forestry,3,1,1,1,4,3,3,1,4,3,4,2,1,3,3,2,1,3,15
20021784,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Rangeland Ecology and Management,3,1,1,1,2,3,3,3,1,3,4,2,3,1,1,4,1,3,16
20013145,Agricultural Sciences,Forestry and Forest Sciences,University of Florida,Forest Resources and Conservation,3,3,1,1,4,3,2,3,4,3,3,3,1,1,3,4,3,3,15
20019738,Agricultural Sciences,Forestry and Forest Sciences,University of Georgia,Forest Resources,3,1,1,3,1,3,3,3,1,1,3,3,3,1,3,1,3,3,18
20071420,Agricultural Sciences,Forestry and Forest Sciences,University of Idaho,Forest Resources,3,1,1,4,4,3,3,1,4,1,1,1,1,1,4,2,1,3,14
20047959,Agricultural Sciences,Forestry and Forest Sciences,University of Massachusetts Amherst,Forest Resources,3,1,1,4,4,1,3,2,1,1,1,1,1,1,1,4,1,1,15
20040121,Agricultural Sciences,Forestry and Forest Sciences,University of Minnesota-Twin Cities,Natural Resource Science and Management,3,1,1,1,2,3,3,3,2,3,2,3,3,3,2,2,3,2,18
20025382,Agricultural Sciences,Forestry and Forest Sciences,University of Missouri - Columbia,Forestry,3,1,1,4,4,1,1,3,1,3,3,1,1,1,3,1,1,3,16
20063124,Agricultural Sciences,Forestry and Forest Sciences,University of Montana - Missoula,Forestry,2,3,,,,3,3,3,3,2,2,,3,3,3,3,2,3,14
20045922,Agricultural Sciences,Forestry and Forest Sciences,University of Tennessee,Natural Resources,1,1,1,1,3,3,3,3,1,3,1,1,1,1,1,4,2,2,17
20059659,Agricultural Sciences,Forestry and Forest Sciences,University of Washington,Forest Resources,3,3,1,1,1,3,1,3,3,3,2,3,3,1,1,2,1,3,18
20030610,Agricultural Sciences,Forestry and Forest Sciences,University of Wisconsin-Madison,Forestry,3,3,1,3,4,1,3,1,1,3,1,3,1,3,1,2,3,3,17
20044567,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forest Products,3,3,1,3,1,3,2,3,2,1,1,1,3,3,1,3,3,3,18
20044570,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forestry,3,1,1,1,1,3,2,3,2,3,1,3,1,1,3,3,3,3,18
20063496,Agricultural Sciences,Forestry and Forest Sciences,Yale University,Forestry & Environmental Studies,3,1,1,1,1,1,3,3,1,3,1,1,3,1,3,1,1,3,18
20037998,Agricultural Sciences,Nutrition,Auburn University,Nutrition & Food Science,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,3,3,16
20019246,Agricultural Sciences,Nutrition,Case Western Reserve University,Nutrition,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,18
20057790,Agricultural Sciences,Nutrition,Columbia University In The City of New York,Nutrition,1,1,1,4,4,3,2,2,1,1,1,1,1,1,3,3,2,2,16
20015994,Agricultural Sciences,Nutrition,Cornell University,Nutrition,3,1,1,1,3,3,3,4,4,3,3,1,1,1,3,4,3,3,15
20062099,Agricultural Sciences,Nutrition,Emory University,Nutrition and Health Sciences (NHS),3,1,1,4,4,2,2,1,3,3,1,1,3,1,3,2,1,3,16
20034603,Agricultural Sciences,Nutrition,Florida International University,Dietetics and Nutrition,3,1,1,4,4,1,3,1,1,3,3,1,1,1,3,2,3,3,16
20026051,Agricultural Sciences,Nutrition,Howard University,Nutritional Science,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,15
20016634,Agricultural Sciences,Nutrition,Iowa State University,Nutrition,3,3,3,1,4,3,2,4,3,1,1,1,3,3,3,2,1,3,16
20056775,Agricultural Sciences,Nutrition,Johns Hopkins University,Human Nutrition,3,1,2,1,1,3,3,3,3,3,3,1,1,1,3,3,4,4,16
20028677,Agricultural Sciences,Nutrition,Kansas State University,Nutrition,3,1,3,2,3,1,3,1,2,3,1,1,1,1,1,4,1,3,17
20047027,Agricultural Sciences,Nutrition,Michigan State University,Human Nutrition,3,3,3,1,1,3,3,4,1,1,1,1,3,3,3,3,1,3,17
20024558,Agricultural Sciences,Nutrition,Mississippi State University,Nutrition (degree: PhD in Food Science and Nutrition),1,1,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,3,18
20041560,Agricultural Sciences,Nutrition,North Carolina State University,Nutrition,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,18
20029236,Agricultural Sciences,Nutrition,Ohio State University Main Campus,"Nutrition Program, The Ohio State University",3,1,1,3,1,3,3,3,1,3,3,3,3,1,3,3,3,3,18
20018674,Agricultural Sciences,Nutrition,Oregon State University,Nutrition and Food Management,3,3,1,1,3,1,2,1,2,1,4,4,3,3,2,2,2,1,16
20031622,Agricultural Sciences,Nutrition,Penn State University,Nutritional Sciences,2,1,1,1,3,1,3,1,1,3,3,3,3,3,3,3,1,3,18
20055860,Agricultural Sciences,Nutrition,Purdue University Main Campus,Foods and Nutrition,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,18
20021687,Agricultural Sciences,Nutrition,Texas A & M University,Nutrition,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,15
