Program ID,Broad Field,Field,Institution Name,Program Name,Total Faculty (2006),Number of Allocated Faculty (2006),Assistant Professors as a Percent of Total Faculty (2006),Tenured Faculty as a Percent of Total Faculty (2006),Number of Core and New Faculty (2006),Number of Students Enrolled (Fall 2005),Average Annual First Year Enrollment (2002-2006),Percent of Students with Research Assistantships (Fall 2005),Percent of Students with Teaching Assistantships (Fall 2005),Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships
20019945,Agricultural Sciences,Animal Sciences,University of Georgia,Poultry Science,13,11.15,15%,69%,11,7,2.5,40%,0%,*,*,*,*
20014966,Agricultural Sciences,Animal Sciences,University of Hawaii At Manoa,Zoology,32,27.58,16%,69%,29,66,12.6,66.7%,22.7%,0%,0%,0%,0%
20067557,Agricultural Sciences,Animal Sciences,University of Idaho,Animal Physiology,17,16.25,24%,76%,16,14,3.2,90%,10%,0%,0%,0%,0%
20038777,Agricultural Sciences,Animal Sciences,University of Illinois At Urbana-Champaign,Animal Sciences,80,41.54,18%,79%,50,40,7.8,60%,0%,0%,20%,0%,0%
20028059,Agricultural Sciences,Animal Sciences,University of Kentucky,Animal Sciences,54,32.24,4%,94%,28,17,4.8,56.3%,6.3%,0%,0%,50%,0%
20049986,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Animal Sciences,42,26.41,10%,55%,27,25,5.8,72.7%,0%,0%,25%,0%,0%
20050548,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Veterinary Medical Sciences,11,7.51,45%,27%,8,8,2.4,57.1%,0%,0%,33.3%,0%,0%
20039598,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Animal Sciences,30,24.32,10%,83%,29,14,3.8,69.2%,23.1%,0%,0%,0%,0%
20040299,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Veterinary Medicine,69,49.25,9%,70%,63,28,6.8,65.2%,21.7%,0%,0%,0%,0%
20025188,Agricultural Sciences,Animal Sciences,University of Missouri - Columbia,Animal Sciences,33,31.07,9%,76%,31,34,8.6,61.8%,5.9%,10%,0%,0%,0%
20017086,Agricultural Sciences,Animal Sciences,University of Nebraska - Lincoln,Animal Science,51,36.01,8%,76%,32,27,8.4,39.1%,0%,0%,0%,0%,40%
20045647,Agricultural Sciences,Animal Sciences,University of Tennessee,Animal Science,37,22.27,8%,76%,18,7,2.6,83.3%,16.7%,0%,0%,0%,0%
20030306,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Animal Sciences,41,17.73,12%,,19,16,3.2,64.3%,14.3%,0%,0%,0%,0%
20030526,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Dairy Science,18,11.72,11%,,14,12,3.4,80%,0%,0%,33.3%,0%,0%
20059439,Agricultural Sciences,Animal Sciences,University of Washington,Aquatic and Fishery Sciences,70,34.9,10%,56%,34,49,8.8,58.5%,14.6%,0%,0%,0%,0%
20031127,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Zoology,33,16.51,21%,,30,39,7.6,0%,0%,,100%,,
20024752,Agricultural Sciences,Animal Sciences,University of Wyoming,Reproductive Biology,7,3.73,0%,71%,7,2,1.5,,,,,,
20044363,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,"Animal Sciences, Dairy",26,12.41,15%,77%,13,10,2.8,33.3%,44.4%,0%,0%,0%,0%
20044376,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Animal and Poultry Sciences,50,27.36,16%,80%,25,26,6.2,27.3%,9.1%,55.6%,0%,0%,11.1%
20044541,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Fisheries and Wildlife,45,24.38,13%,64%,22,17,4.6,47.1%,23.5%,0%,0%,0%,0%
20058304,Agricultural Sciences,Animal Sciences,Washington State University,Animal Sciences,32,18.1,9%,84%,17,14,3.8,46.2%,30.8%,0%,0%,0%,0%
20037862,Agricultural Sciences,Entomology,Auburn University,Entomology,12,12,8%,92%,12,7,3.6,0%,0%,,0%,100%,
20016841,Agricultural Sciences,Entomology,Clemson University,Entomology,26,14.77,8%,73%,12,14,2,69.2%,15.4%,0%,0%,0%,0%
20015761,Agricultural Sciences,Entomology,Cornell University,Entomology,34,26.77,12%,71%,32,27,5.8,14.8%,40.7%,25%,0%,25%,0%
20016430,Agricultural Sciences,Entomology,Iowa State University,Entomology,17,10.93,24%,65%,14,13,3.25,100%,0%,*,*,*,*
20028596,Agricultural Sciences,Entomology,Kansas State University,Entomology,26,20.16,12%,50%,16,26,4,68.2%,0%,0%,,,
20058087,Agricultural Sciences,Entomology,Louisiana State University And Agricultural And Mechanical College,Entomology,39,21.74,10%,85%,20,15,4.6,90.9%,0%,0%,0%,0%,0%
20046918,Agricultural Sciences,Entomology,Michigan State University,Entomology,51,18.85,8%,84%,24,15,3.6,26.7%,13.3%,0%,0%,0%,0%
20024451,Agricultural Sciences,Entomology,Mississippi State University,Entomology and Plant Pathology (degree: PhD in Life Sciences),29,21.94,3%,45%,16,14,2.6,2.9%,14.3%,,,,
20041418,Agricultural Sciences,Entomology,North Carolina State University,Entomology,31,27.99,13%,74%,28,26,4,44%,0%,0%,0%,0%,40%
20028965,Agricultural Sciences,Entomology,Ohio State University Main Campus,Entomology,20,15.86,5%,95%,19,18,3.5,33.3%,46.7%,0%,0%,0%,0%
20041971,Agricultural Sciences,Entomology,Oklahoma State University Main Campus,Entomology,12,11.92,8%,75%,12,14,3.25,100%,0%,0%,0%,0%,0%
20018564,Agricultural Sciences,Entomology,Oregon State University,Entomology,17,8.3,18%,53%,12,4,1,50%,0%,0%,0%,100%,0%
20031392,Agricultural Sciences,Entomology,Penn State University,Entomology,38,19.49,5%,89%,24,20,4.6,29.8%,38.3%,8.3%,8.3%,0%,0%
20055844,Agricultural Sciences,Entomology,Purdue University Main Campus,Entomology,40,25.06,20%,75%,21,12,2.8,66.7%,16.7%,0%,0%,0%,0%
20012531,Agricultural Sciences,Entomology,Rutgers The State University of New Jersey New Brunswick Campus,Entomology,10,7.8,0%,80%,10,12,1.8,28.6%,28.6%,,,,
20013624,Agricultural Sciences,Entomology,University of Arkansas Main Campus,Entomology,14,7.08,21%,79%,7,4,1.2,75%,0%,0%,0%,0%,0%
20048819,Agricultural Sciences,Entomology,University of California-Riverside,Entomology,33,28.68,0%,100%,29,36,7.6,52.8%,0%,70%,0%,10%,10%
20067159,Agricultural Sciences,Entomology,University of California-Davis,Entomology,40,20.58,0%,78%,25,35,6.8,34.3%,11.4%,37.5%,0%,0%,12.5%
20013064,Agricultural Sciences,Entomology,University of Florida,Entomology and Nematology,74,63.41,22%,68%,55,59,10.2,69.5%,10.2%,20%,0%,0%,0%
20019699,Agricultural Sciences,Entomology,University of Georgia,Entomology,43,33.44,16%,72%,32,23,5.4,6.3%,8.4%,2.9%,0%,0%,17.1%
20038984,Agricultural Sciences,Entomology,University of Illinois At Urbana-Champaign,Entomology,23,11.96,13%,61%,11,20,3.2,57.9%,36.8%,0%,0%,0%,0%
20028198,Agricultural Sciences,Entomology,University of Kentucky,Entomology,31,17.15,3%,90%,16,26,6.2,64%,0%,0%,0%,0%,0%
20050195,Agricultural Sciences,Entomology,University of Maryland College Park,Entomology,32,16.9,6%,63%,21,20,4.5,27.8%,33.3%,*,*,*,*
20039857,Agricultural Sciences,Entomology,University of Minnesota-Twin Cities,Entomology,23,16.28,9%,74%,18,18,3.4,66.7%,0%,50%,0%,0%,0%
20017099,Agricultural Sciences,Entomology,University of Nebraska - Lincoln,Entomology,44,26.31,0%,70%,24,18,5,91.7%,0%,0%,0%,0%,0%
20030584,Agricultural Sciences,Entomology,University of Wisconsin-Madison,Entomology,14,13.11,36%,,14,18,4,57.1%,21.4%,33.3%,0%,0%,0%
20044525,Agricultural Sciences,Entomology,Virginia Polytechnic Institute And State University,Entomology,47,24.38,13%,77%,23,25,5.4,62.5%,20.8%,0%,0%,0%,14.3%
20058427,Agricultural Sciences,Entomology,Washington State University,Entomology,30,22.73,10%,63%,20,12,3.6,54.5%,9.1%,0%,33.3%,0%,0%
20016854,Agricultural Sciences,Food Science,Clemson University,Food Technology,22,11.65,18%,82%,9,13,3.6,63.6%,18.2%,,,,20%
20056351,Agricultural Sciences,Food Science,Colorado State University,Food Science & Human Nutrition,15,15,20%,80%,15,13,3,22.2%,11.1%,0%,33.3%,0%,0%
20015787,Agricultural Sciences,Food Science,Cornell University,Food Science and Technology,32,24.92,3%,84%,32,47,9.6,46.8%,8.5%,33.3%,0%,0%,0%
20016456,Agricultural Sciences,Food Science,Iowa State University,Food Science & Technology,24,16.44,4%,79%,22,14,2.2,100%,0%,,,,
20028606,Agricultural Sciences,Food Science,Kansas State University,Food Science,26,15.02,12%,81%,12,9,2.4,56.2%,0%,2.6%,,,5.3%
20058090,Agricultural Sciences,Food Science,Louisiana State University And Agricultural And Mechanical College,Food Science,26,11.34,0%,62%,9,16,4.6,0%,15.4%,0%,33.3%,0%,0%
20046947,Agricultural Sciences,Food Science,Michigan State University,Food Science,42,17.21,12%,81%,24,15,3.2,46.7%,0%,*,*,*,*
20024464,Agricultural Sciences,Food Science,Mississippi State University,Food Science (degree: PhD in Food Science and Nutrition),16,14.42,13%,56%,15,6,4.4,16.7%,33.3%,0%,0%,0%,0%
20041434,Agricultural Sciences,Food Science,North Carolina State University,Food Science,42,29.84,14%,60%,32,30,6.2,89.3%,0%,0%,0%,0%,0%
20028994,Agricultural Sciences,Food Science,Ohio State University Main Campus,Food Science and Nutrition,20,16.04,20%,70%,17,27,5,68%,0%,0%,0%,0%,0%
20041997,Agricultural Sciences,Food Science,Oklahoma State University Main Campus,Food Science,20,11.74,5%,85%,14,12,3,72.7%,0%,0%,0%,0%,0%
20018593,Agricultural Sciences,Food Science,Oregon State University,Food Science and Technology,25,17.61,16%,60%,19,13,4.6,33.3%,0%,0%,0%,0%,0%
20031402,Agricultural Sciences,Food Science,Penn State University,Food Science,34,15.23,6%,88%,14,24,3.8,33.3%,0%,33.3%,0%,0%,0%
20055857,Agricultural Sciences,Food Science,Purdue University Main Campus,Food Science,43,22.85,14%,86%,20,30,5.8,80%,6.7%,0%,0%,12.5%,0%
20012557,Agricultural Sciences,Food Science,Rutgers The State University of New Jersey New Brunswick Campus,Food Science,27,18.74,22%,70%,27,81,7.8,17.3%,18.5%,4.8%,0%,0%,0%
20021632,Agricultural Sciences,Food Science,Texas A & M University,Food Science & Technology,42,21.2,2%,81%,20,27,5.8,22.7%,50%,14.3%,0%,0%,0%
20013640,Agricultural Sciences,Food Science,University of Arkansas Main Campus,Food Science,27,9.58,7%,93%,9,17,3.6,55.6%,0%,,,25%,25%
20067175,Agricultural Sciences,Food Science,University of California-Davis,Food Science,65,35.32,0%,92%,52,27,6.6,3.7%,3.7%,60%,0%,0%,0%
20013103,Agricultural Sciences,Food Science,University of Florida,Food Science and Human Nutrition: Food Science,17,15.2,12%,82%,16,22,4.6,54.5%,9.1%,37.5%,0%,0%,0%
20039006,Agricultural Sciences,Food Science,University of Illinois At Urbana-Champaign,Food Science and Human Nutrition,50,24.39,16%,68%,31,27,3.8,57.7%,15.4%,25%,0%,0%,0%
20019712,Agricultural Sciences,Food Science,University of Georgia,Food Science,75,34.84,7%,71%,22,46,11,32.1%,3.8%,0%,0%,0%,5.3%
20050218,Agricultural Sciences,Food Science,University of Maryland College Park,Food Science,15,6.96,7%,93%,11,9,3,11.1%,66.7%,0%,0%,0%,0%
20047946,Agricultural Sciences,Food Science,University of Massachusetts Amherst,Food Science,22,12,9%,82%,11,23,4.4,65.2%,8.7%,0%,0%,0%,0%
20039909,Agricultural Sciences,Food Science,University of Minnesota-Twin Cities,Food Science,19,13.08,5%,95%,17,23,3.8,75%,6.3%,0%,0%,0%,0%
20025379,Agricultural Sciences,Food Science,University of Missouri - Columbia,Food Science,11,9.34,0%,55%,10,3,0.8,0%,0%,*,*,*,*
20017109,Agricultural Sciences,Food Science,University of Nebraska - Lincoln,Food Science & Technology,43,18.21,7%,81%,15,13,3.2,50%,0%,,,50%,
20045812,Agricultural Sciences,Food Science,University of Tennessee,Food Science and Technology,21,8.44,24%,67%,8,9,2.2,0%,40%,*,*,*,*
20027474,Agricultural Sciences,Food Science,University of Vermont,"Animal, Nutrition, and Food Sciences",24,20.45,17%,50%,18,8,2,0%,0%,*,*,*,*
20030607,Agricultural Sciences,Food Science,University of Wisconsin-Madison,Food Science,18,13.58,6%,,13,30,6.5,85.2%,0%,0%,0%,0%,0%
20044554,Agricultural Sciences,Food Science,Virginia Polytechnic Institute And State University,Food Science and Technology,23,12.1,13%,78%,12,15,5.6,40%,60%,*,*,*,*
20058443,Agricultural Sciences,Food Science,Washington State University,Food Science,28,11.96,14%,71%,9,12,4,27.3%,36.4%,0%,0%,0%,0%
20037891,Agricultural Sciences,Forestry and Forest Sciences,Auburn University,Forestry,24,23.07,21%,79%,23,16,3.6,31.4%,0%,0%,0%,10%,0%
20016469,Agricultural Sciences,Forestry and Forest Sciences,Iowa State University,Forestry,20,12.98,15%,50%,13,9,2,77.8%,0%,,,,
20016867,Agricultural Sciences,Forestry and Forest Sciences,Clemson University,Forest Resources,32,18.92,16%,66%,21,12,3.2,55.6%,0%,,0%,,
20056364,Agricultural Sciences,Forestry and Forest Sciences,Colorado State University,"Forest, Rangeland, and Watershed Stewardship",37,25.41,30%,59%,28,30,N/D,0%,0%,,0%,,
20046950,Agricultural Sciences,Forestry and Forest Sciences,Michigan State University,Forestry,51,17.03,14%,76%,21,22,4.6,50%,0%,0%,0%,0%,0%
20058100,Agricultural Sciences,Forestry and Forest Sciences,Louisiana State University And Agricultural And Mechanical College,Forestry,37,16.59,0%,84%,15,15,4.6,86.7%,0%,0%,0%,0%,0%
20022343,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Science,48,24.53,13%,63%,18,25,4.4,70%,0%,0%,0%,0%,25%
20022356,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Molecular Genetics and Biotechnology,16,5.71,31%,50%,5,12,1.6,88.9%,0%,0%,0%,0%,0%
20024477,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forest Products (degree: PhD in Forest Resources),30,21.69,7%,40%,17,9,1.4,0%,0%,0%,0%,0%,100%
20024480,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forestry (degree: PhD in Forest Resources),24,20.96,17%,50%,18,12,2.4,0%,0%,0%,0%,0%,0%
20041447,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Forestry,89,64.9,30%,46%,61,42,5.6,78.8%,0%,0%,0%,0%,0%
20041683,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Wood and Paper Science,22,20.06,9%,73%,21,16,3.2,0%,0%,33.3%,66.7%,0%,0%
20018603,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Engineering,27,10.61,11%,67%,8,17,4,47.1%,0%,16.7%,0%,0%,0%
20018629,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Resources,36,24.5,8%,47%,22,17,4,17.6%,0%,0%,0%,50%,0%
20018616,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Science,50,26.52,10%,56%,23,28,5.8,58.3%,0%,50%,0%,0%,0%
20018742,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Wood Science,17,13.32,0%,76%,13,12,5,45.5%,0%,0%,0%,0%,0%
20031415,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Forest Resources,44,19.68,11%,77%,24,9,4,100%,0%,0%,0%,0%,0%
20031800,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Wildlife and Fisheries Science,19,6.09,11%,79%,12,6,1.2,91.7%,0%,0%,0%,0%,0%
20055886,Agricultural Sciences,Forestry and Forest Sciences,Purdue University Main Campus,Forestry & Natural Resources,61,27.86,16%,77%,20,31,5.6,96.3%,3.7%,0%,0%,0%,0%
20021742,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Forestry,9,6.66,,,9,6,2.2,50%,50%,0%,0%,0%,0%
20021784,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Rangeland Ecology and Management,15,11,,,15,16,4,23.1%,53.8%,20%,0%,0%,0%
20013145,Agricultural Sciences,Forestry and Forest Sciences,University of Florida,Forest Resources and Conservation,36,27.03,8%,61%,36,44,9.6,0%,0%,60%,0%,0%,40%
20019738,Agricultural Sciences,Forestry and Forest Sciences,University of Georgia,Forest Resources,91,46.09,18%,57%,38,57,13.6,24.6%,0%,0%,0%,0%,0%
20071420,Agricultural Sciences,Forestry and Forest Sciences,University of Idaho,Forest Resources,17,13,18%,71%,9,21,5.8,81.3%,0%,0%,0%,0%,0%
20047959,Agricultural Sciences,Forestry and Forest Sciences,University of Massachusetts Amherst,Forest Resources,19,11.87,0%,63%,14,8,1.8,16.7%,16.7%,0%,0%,0%,0%
20040121,Agricultural Sciences,Forestry and Forest Sciences,University of Minnesota-Twin Cities,Natural Resource Science and Management,64,36.3,13%,55%,37,50,8.8,48.1%,7.4%,25%,0%,12.5%,0%
20025382,Agricultural Sciences,Forestry and Forest Sciences,University of Missouri - Columbia,Forestry,12,12,0%,75%,12,16,3.6,56.3%,0%,50%,0%,0%,0%
20063124,Agricultural Sciences,Forestry and Forest Sciences,University of Montana - Missoula,Forestry,40,36.06,10%,48%,35,75,6.5,,,,,,
20045922,Agricultural Sciences,Forestry and Forest Sciences,University of Tennessee,Natural Resources,44,32.62,9%,59%,32,25,9.25,16.7%,12.5%,0%,0%,0%,0%
20059659,Agricultural Sciences,Forestry and Forest Sciences,University of Washington,Forest Resources,126,74.61,11%,63%,78,54,10.8,27.1%,16.7%,28.6%,0%,0%,0%
20030610,Agricultural Sciences,Forestry and Forest Sciences,University of Wisconsin-Madison,Forestry,37,15.3,5%,,17,26,4.4,79.2%,8.3%,0%,0%,0%,0%
20044567,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forest Products,41,19.17,12%,76%,18,5,1.8,100%,0%,0%,0%,0%,0%
20044570,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forestry,56,27.28,14%,80%,26,21,5.4,55.6%,16.7%,0%,0%,0%,0%
20063496,Agricultural Sciences,Forestry and Forest Sciences,Yale University,Forestry & Environmental Studies,37,27.71,16%,57%,25,68,10,0%,0%,61.5%,15.4%,23.1%,0%
20037998,Agricultural Sciences,Nutrition,Auburn University,Nutrition & Food Science,10,9,30%,70%,8,18,2.4,27.3%,18.2%,33.3%,,,
20019246,Agricultural Sciences,Nutrition,Case Western Reserve University,Nutrition,24,12.15,17%,58%,10,15,3.4,71.4%,0%,0%,0%,0%,0%
20057790,Agricultural Sciences,Nutrition,Columbia University In The City of New York,Nutrition,18,10.3,6%,67%,14,28,5.4,53.6%,0%,60%,40%,0%,0%
20015994,Agricultural Sciences,Nutrition,Cornell University,Nutrition,43,30.89,5%,74%,41,62,11,9.7%,32.3%,28.6%,0%,0%,0%
20062099,Agricultural Sciences,Nutrition,Emory University,Nutrition and Health Sciences (NHS),32,22.92,34%,41%,26,33,6,0%,0%,66.7%,33.3%,0%,0%
20034603,Agricultural Sciences,Nutrition,Florida International University,Dietetics and Nutrition,12,10,8%,83%,8,16,3,14.9%,51.1%,0%,0%,12.5%,12.5%
20026051,Agricultural Sciences,Nutrition,Howard University,Nutritional Science,12,5.22,0%,100%,2,11,3.4,0%,40%,,,,
20016634,Agricultural Sciences,Nutrition,Iowa State University,Nutrition,15,10.92,7%,67%,15,14,2.2,100%,0%,0%,0%,0%,0%
20056775,Agricultural Sciences,Nutrition,Johns Hopkins University,Human Nutrition,14,6.31,7%,36%,10,20,4.4,0%,0%,0%,0%,0%,0%
20028677,Agricultural Sciences,Nutrition,Kansas State University,Nutrition,17,13.85,18%,71%,13,14,5.2,57.1%,0%,20%,,,
20047027,Agricultural Sciences,Nutrition,Michigan State University,Human Nutrition,33,15.03,15%,79%,17,12,2.4,25%,8.3%,20%,0%,0%,0%
20024558,Agricultural Sciences,Nutrition,Mississippi State University,Nutrition (degree: PhD in Food Science and Nutrition),7,6,14%,29%,7,4,1.67,77.8%,22.2%,0%,,,
20041560,Agricultural Sciences,Nutrition,North Carolina State University,Nutrition,31,13.64,3%,90%,31,11,1.25,62.5%,12.5%,0%,0%,0%,0%
20029236,Agricultural Sciences,Nutrition,Ohio State University Main Campus,"Nutrition Program, The Ohio State University",35,19.11,14%,80%,32,30,4.5,81.5%,0%,0%,0%,0%,0%
20018674,Agricultural Sciences,Nutrition,Oregon State University,Nutrition and Food Management,15,8.2,13%,53%,10,8,2,57.1%,14.3%,0%,33.3%,0%,0%
20031622,Agricultural Sciences,Nutrition,Penn State University,Nutritional Sciences,45,20.33,20%,76%,25,35,10,79.4%,0%,33.3%,0%,0%,0%
