Program ID,Broad Field,Field,Institution Name,Program Name,R Rankings:  5th Percentile,R Rankings:  95th Percentile,S Rankings:  5th Percentile,S Rankings:  95th Percentile,Research Activity:  5th Percentile,Research Activity: 95th Percentile,"Student Support
& Outcomes:  5th Percentile","Student Support & Outcomes:  95th
Percentile",Diversity: 5th Percentile,Diversity:  95th Percentile
20021807,Agricultural Sciences,Animal Sciences,Texas A & M University,Wildlife & Fisheries Sciences,2,27,11,44,7,42,23,47,21,35
20065151,Agricultural Sciences,Animal Sciences,Texas A & M University,Reproductive Physiology,12,42,16,49,13,48,16,46,37,52
20027995,Agricultural Sciences,Animal Sciences,University of Alaska Fairbanks,Fisheries,36,52,25,56,15,52,19,51,36,51
20022929,Agricultural Sciences,Animal Sciences,Texas Tech University,Zoology,49,59,29,55,15,45,13,43,11,24
20033785,Agricultural Sciences,Animal Sciences,University of Arizona,Animal Sciences,22,55,15,48,14,49,9,50,2,9
20013530,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Animal Sciences,25,50,17,49,20,52,3,33,42,55
20013750,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Poultry Science,17,46,5,29,5,37,25,51,3,10
20023805,Agricultural Sciences,Animal Sciences,University of Connecticut,Animal Science PhD,9,41,8,32,18,49,6,28,20,35
20012081,Agricultural Sciences,Animal Sciences,University of Delaware,Animal Science,32,52,42,59,29,54,50,59,2,5
20024215,Agricultural Sciences,Animal Sciences,University of Connecticut,Pathobiology PhD,46,58,12,45,10,42,14,49,32,47
20012926,Agricultural Sciences,Animal Sciences,University of Florida,Animal Sciences,17,48,32,54,33,56,26,51,10,20
20013080,Agricultural Sciences,Animal Sciences,University of Florida,Fisheries and Aquatic Sciences,44,56,41,59,33,59,35,54,45,56
20013501,Agricultural Sciences,Animal Sciences,University of Florida,Veterinary Medical Sciences,9,44,20,51,7,41,54,59,4,15
20019563,Agricultural Sciences,Animal Sciences,University of Georgia,Animal and Dairy Science,10,35,6,36,3,25,23,52,28,43
20019945,Agricultural Sciences,Animal Sciences,University of Georgia,Poultry Science,11,40,3,25,1,20,7,31,26,43
20014966,Agricultural Sciences,Animal Sciences,University of Hawaii At Manoa,Zoology,8,44,13,46,6,38,43,57,37,53
20067557,Agricultural Sciences,Animal Sciences,University of Idaho,Animal Physiology,49,59,17,50,5,31,10,51,42,55
20038777,Agricultural Sciences,Animal Sciences,University of Illinois At Urbana-Champaign,Animal Sciences,1,10,1,5,1,5,17,43,21,36
20028059,Agricultural Sciences,Animal Sciences,University of Kentucky,Animal Sciences,5,38,27,51,41,59,5,28,25,40
20049986,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Animal Sciences,12,39,14,38,27,52,9,45,4,15
20050548,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Veterinary Medical Sciences,18,60,3,34,4,38,5,58,31,48
20040299,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Veterinary Medicine,6,35,10,38,9,39,32,53,9,20
20039598,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Animal Sciences,5,34,11,44,11,46,8,43,9,22
20025188,Agricultural Sciences,Animal Sciences,University of Missouri - Columbia,Animal Sciences,6,27,8,35,4,33,21,46,42,55
20017086,Agricultural Sciences,Animal Sciences,University of Nebraska - Lincoln,Animal Science,1,15,28,51,46,59,3,17,48,57
20045647,Agricultural Sciences,Animal Sciences,University of Tennessee,Animal Science,21,56,24,50,37,57,1,5,4,16
20059439,Agricultural Sciences,Animal Sciences,University of Washington,Aquatic and Fishery Sciences,3,27,1,11,2,25,34,52,26,41
20030306,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Animal Sciences,19,55,5,25,6,32,34,54,33,49
20030526,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Dairy Science,5,45,2,12,2,17,14,47,22,37
20031127,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Zoology,1,39,1,5,1,11,8,38,19,34
20024752,Agricultural Sciences,Animal Sciences,University of Wyoming,Reproductive Biology,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked
20044363,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,"Animal Sciences, Dairy",13,40,26,52,36,58,4,25,12,28
20044376,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Animal and Poultry Sciences,3,26,8,37,12,49,14,49,4,16
20058304,Agricultural Sciences,Animal Sciences,Washington State University,Animal Sciences,17,49,8,36,11,44,1,17,10,23
20044541,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Fisheries and Wildlife,21,47,12,44,8,42,34,53,33,50
20037862,Agricultural Sciences,Entomology,Auburn University,Entomology,19,28,7,22,6,23,2,13,6,15
20016841,Agricultural Sciences,Entomology,Clemson University,Entomology,19,28,25,28,12,26,25,28,21,27
20015761,Agricultural Sciences,Entomology,Cornell University,Entomology,1,10,4,20,3,19,20,28,12,17
20016430,Agricultural Sciences,Entomology,Iowa State University,Entomology,14,26,20,27,20,27,11,24,1,9
20028596,Agricultural Sciences,Entomology,Kansas State University,Entomology,3,17,2,12,3,19,5,15,1,8
20058087,Agricultural Sciences,Entomology,Louisiana State University And Agricultural And Mechanical College,Entomology,9,20,12,24,9,25,9,20,22,27
20046918,Agricultural Sciences,Entomology,Michigan State University,Entomology,16,27,8,24,3,19,23,28,1,4
20024451,Agricultural Sciences,Entomology,Mississippi State University,Entomology and Plant Pathology (degree: PhD in Life Sciences),22,28,24,28,22,28,11,22,15,24
20028965,Agricultural Sciences,Entomology,Ohio State University Main Campus,Entomology,6,15,8,23,3,19,11,21,10,16
20041418,Agricultural Sciences,Entomology,North Carolina State University,Entomology,6,17,9,23,3,19,17,25,7,15
20041971,Agricultural Sciences,Entomology,Oklahoma State University Main Campus,Entomology,19,28,24,28,26,28,1,6,17,24
20018564,Agricultural Sciences,Entomology,Oregon State University,Entomology,20,28,18,27,10,26,20,28,1,9
20031392,Agricultural Sciences,Entomology,Penn State University,Entomology,5,17,2,14,3,20,4,16,4,11
20055844,Agricultural Sciences,Entomology,Purdue University Main Campus,Entomology,9,21,8,22,16,26,1,8,15,23
20012531,Agricultural Sciences,Entomology,Rutgers The State University of New Jersey New Brunswick Campus,Entomology,16,27,11,25,4,22,16,25,16,22
20013624,Agricultural Sciences,Entomology,University of Arkansas Main Campus,Entomology,12,23,7,22,10,25,1,10,16,25
20067159,Agricultural Sciences,Entomology,University of California-Davis,Entomology,2,12,1,8,2,14,3,15,3,12
20048819,Agricultural Sciences,Entomology,University of California-Riverside,Entomology,1,7,1,8,1,5,7,16,24,27
20013064,Agricultural Sciences,Entomology,University of Florida,Entomology and Nematology,2,12,8,23,6,23,18,27,9,15
20019699,Agricultural Sciences,Entomology,University of Georgia,Entomology,2,11,4,17,8,23,1,6,14,22
20038984,Agricultural Sciences,Entomology,University of Illinois At Urbana-Champaign,Entomology,1,8,1,4,1,2,13,25,16,23
20028198,Agricultural Sciences,Entomology,University of Kentucky,Entomology,7,18,3,13,4,20,8,19,5,14
20050195,Agricultural Sciences,Entomology,University of Maryland College Park,Entomology,12,25,6,23,4,22,14,26,1,6
20039857,Agricultural Sciences,Entomology,University of Minnesota-Twin Cities,Entomology,2,13,1,13,2,17,2,11,6,14
20017099,Agricultural Sciences,Entomology,University of Nebraska - Lincoln,Entomology,11,21,12,24,13,26,2,14,21,27
20030584,Agricultural Sciences,Entomology,University of Wisconsin-Madison,Entomology,2,13,4,17,3,15,14,27,3,11
20058427,Agricultural Sciences,Entomology,Washington State University,Entomology,14,25,6,21,7,24,3,15,28,28
20044525,Agricultural Sciences,Entomology,Virginia Polytechnic Institute And State University,Entomology,11,24,14,25,16,27,8,19,18,26
20016854,Agricultural Sciences,Food Science,Clemson University,Food Technology,24,30,23,29,27,31,8,22,14,27
20015787,Agricultural Sciences,Food Science,Cornell University,Food Science and Technology,1,5,1,9,1,9,25,29,15,26
20056351,Agricultural Sciences,Food Science,Colorado State University,Food Science & Human Nutrition,26,30,28,31,22,30,8,25,22,31
20016456,Agricultural Sciences,Food Science,Iowa State University,Food Science & Technology,10,23,6,23,3,19,6,23,2,4
20028606,Agricultural Sciences,Food Science,Kansas State University,Food Science,8,22,4,22,7,25,14,25,4,12
20058090,Agricultural Sciences,Food Science,Louisiana State University And Agricultural And Mechanical College,Food Science,20,28,10,27,10,27,26,29,1,1
20046947,Agricultural Sciences,Food Science,Michigan State University,Food Science,10,23,9,25,8,24,13,26,6,15
20024464,Agricultural Sciences,Food Science,Mississippi State University,Food Science (degree: PhD in Food Science and Nutrition),21,30,12,26,24,31,1,9,15,28
20041434,Agricultural Sciences,Food Science,North Carolina State University,Food Science,6,18,11,26,9,24,4,22,5,14
20028994,Agricultural Sciences,Food Science,Ohio State University Main Campus,Food Science and Nutrition,3,15,2,12,3,21,5,19,4,12
20041997,Agricultural Sciences,Food Science,Oklahoma State University Main Campus,Food Science,31,31,29,31,14,28,29,30,3,8
20018593,Agricultural Sciences,Food Science,Oregon State University,Food Science and Technology,11,23,11,25,9,24,11,23,18,29
20031402,Agricultural Sciences,Food Science,Penn State University,Food Science,10,22,5,21,4,22,4,19,12,22
20055857,Agricultural Sciences,Food Science,Purdue University Main Campus,Food Science,1,7,2,11,2,14,4,19,11,22
20012557,Agricultural Sciences,Food Science,Rutgers The State University of New Jersey New Brunswick Campus,Food Science,2,13,12,27,2,18,31,31,10,20
20021632,Agricultural Sciences,Food Science,Texas A & M University,Food Science & Technology,10,26,12,26,14,27,8,22,12,23
20013640,Agricultural Sciences,Food Science,University of Arkansas Main Campus,Food Science,6,21,2,14,3,22,1,13,6,15
20067175,Agricultural Sciences,Food Science,University of California-Davis,Food Science,4,14,3,16,3,17,3,19,11,26
20013103,Agricultural Sciences,Food Science,University of Florida,Food Science and Human Nutrition: Food Science,5,18,7,25,3,20,20,27,6,14
20019712,Agricultural Sciences,Food Science,University of Georgia,Food Science,2,10,2,13,3,17,14,24,3,10
20039006,Agricultural Sciences,Food Science,University of Illinois At Urbana-Champaign,Food Science and Human Nutrition,5,22,7,23,3,18,23,29,10,24
20050218,Agricultural Sciences,Food Science,University of Maryland College Park,Food Science,11,23,8,24,7,23,1,23,17,28
20047946,Agricultural Sciences,Food Science,University of Massachusetts Amherst,Food Science,1,8,1,2,1,2,2,15,26,31
20039909,Agricultural Sciences,Food Science,University of Minnesota-Twin Cities,Food Science,8,22,18,28,12,25,13,25,24,30
20025379,Agricultural Sciences,Food Science,University of Missouri - Columbia,Food Science,25,29,29,31,30,31,6,20,4,13
20017109,Agricultural Sciences,Food Science,University of Nebraska - Lincoln,Food Science & Technology,10,23,13,26,18,29,10,24,15,27
20045812,Agricultural Sciences,Food Science,University of Tennessee,Food Science and Technology,25,30,19,28,21,30,1,11,2,6
20027474,Agricultural Sciences,Food Science,University of Vermont,"Animal, Nutrition, and Food Sciences",21,28,18,28,21,29,1,7,19,29
20030607,Agricultural Sciences,Food Science,University of Wisconsin-Madison,Food Science,1,8,4,18,2,15,25,29,17,28
20044554,Agricultural Sciences,Food Science,Virginia Polytechnic Institute And State University,Food Science and Technology,12,25,4,23,5,26,1,9,13,25
20058443,Agricultural Sciences,Food Science,Washington State University,Food Science,9,24,2,13,3,19,4,19,29,31
20037891,Agricultural Sciences,Forestry and Forest Sciences,Auburn University,Forestry,26,33,30,33,26,33,21,31,5,14
20016867,Agricultural Sciences,Forestry and Forest Sciences,Clemson University,Forest Resources,14,27,12,29,11,32,1,20,16,26
20056364,Agricultural Sciences,Forestry and Forest Sciences,Colorado State University,"Forest, Rangeland, and Watershed Stewardship",18,30,22,31,5,25,31,32,5,14
20016469,Agricultural Sciences,Forestry and Forest Sciences,Iowa State University,Forestry,27,33,32,33,11,31,33,33,12,22
20058100,Agricultural Sciences,Forestry and Forest Sciences,Louisiana State University And Agricultural And Mechanical College,Forestry,9,21,8,26,7,30,16,29,4,12
20046950,Agricultural Sciences,Forestry and Forest Sciences,Michigan State University,Forestry,8,22,5,21,6,26,12,26,8,18
20022343,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Science,11,24,3,13,2,16,4,21,5,14
20022356,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Molecular Genetics and Biotechnology,5,25,1,3,1,5,1,18,2,4
20024477,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forest Products (degree: PhD in Forest Resources),21,31,10,28,16,33,1,13,8,16
20024480,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forestry (degree: PhD in Forest Resources),26,33,15,31,16,33,1,15,31,33
20041447,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Forestry,4,14,13,29,10,30,26,32,11,22
20041683,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Wood and Paper Science,7,24,11,29,9,31,3,29,9,25
20018603,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Engineering,13,27,7,26,9,32,2,12,32,33
20018616,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Science,4,11,2,11,2,14,8,26,19,28
20018629,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Resources,14,27,9,27,9,31,2,19,15,25
20018742,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Wood Science,7,21,7,25,2,19,14,27,19,29
20031415,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Forest Resources,5,20,7,27,6,30,1,17,28,32
20031800,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Wildlife and Fisheries Science,14,32,10,30,3,25,28,32,25,31
20055886,Agricultural Sciences,Forestry and Forest Sciences,Purdue University Main Campus,Forestry & Natural Resources,5,14,3,16,9,30,8,27,2,3
20021742,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Forestry,11,28,4,24,3,19,5,28,1,1
20021784,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Rangeland Ecology and Management,7,25,16,31,5,28,16,29,8,19
20013145,Agricultural Sciences,Forestry and Forest Sciences,University of Florida,Forest Resources and Conservation,11,23,20,31,12,32,9,27,3,5
20019738,Agricultural Sciences,Forestry and Forest Sciences,University of Georgia,Forest Resources,3,11,4,20,4,25,18,29,20,28
20071420,Agricultural Sciences,Forestry and Forest Sciences,University of Idaho,Forest Resources,23,33,5,24,4,27,8,24,5,13
20047959,Agricultural Sciences,Forestry and Forest Sciences,University of Massachusetts Amherst,Forest Resources,15,31,15,29,20,33,13,30,29,32
20040121,Agricultural Sciences,Forestry and Forest Sciences,University of Minnesota-Twin Cities,Natural Resource Science and Management,3,11,4,19,7,28,3,19,13,22
20025382,Agricultural Sciences,Forestry and Forest Sciences,University of Missouri - Columbia,Forestry,17,31,11,30,5,29,1,21,14,24
20063124,Agricultural Sciences,Forestry and Forest Sciences,University of Montana - Missoula,Forestry,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked
20045922,Agricultural Sciences,Forestry and Forest Sciences,University of Tennessee,Natural Resources,24,33,25,32,15,33,14,30,23,30
20059659,Agricultural Sciences,Forestry and Forest Sciences,University of Washington,Forest Resources,1,5,4,17,7,28,7,25,9,17
20030610,Agricultural Sciences,Forestry and Forest Sciences,University of Wisconsin-Madison,Forestry,1,3,1,2,1,2,9,26,15,26
20044567,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forest Products,10,29,12,30,8,31,2,16,15,28
20044570,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forestry,5,15,4,19,4,27,1,13,23,29
20063496,Agricultural Sciences,Forestry and Forest Sciences,Yale University,Forestry & Environmental Studies,1,4,3,11,4,19,6,23,4,10
20037998,Agricultural Sciences,Nutrition,Auburn University,Nutrition & Food Science,26,43,33,44,38,44,4,26,6,9
20019246,Agricultural Sciences,Nutrition,Case Western Reserve University,Nutrition,17,34,6,20,17,34,6,35,28,41
20057790,Agricultural Sciences,Nutrition,Columbia University In The City of New York,Nutrition,3,16,2,15,1,10,35,42,9,21
20062099,Agricultural Sciences,Nutrition,Emory University,Nutrition and Health Sciences (NHS),11,27,5,18,5,23,3,29,15,34
20015994,Agricultural Sciences,Nutrition,Cornell University,Nutrition,3,11,12,27,11,28,11,35,10,25
20034603,Agricultural Sciences,Nutrition,Florida International University,Dietetics and Nutrition,33,42,29,43,17,38,39,44,3,4
20026051,Agricultural Sciences,Nutrition,Howard University,Nutritional Science,40,44,12,32,18,40,34,42,1,2
20016634,Agricultural Sciences,Nutrition,Iowa State University,Nutrition,12,30,18,34,20,36,2,24,22,39
20056775,Agricultural Sciences,Nutrition,Johns Hopkins University,Human Nutrition,16,44,22,37,15,30,39,44,8,17
20028677,Agricultural Sciences,Nutrition,Kansas State University,Nutrition,24,37,14,32,23,40,1,3,13,33
20047027,Agricultural Sciences,Nutrition,Michigan State University,Human Nutrition,18,35,29,43,30,41,25,41,19,39
20024558,Agricultural Sciences,Nutrition,Mississippi State University,Nutrition (degree: PhD in Food Science and Nutrition),23,41,36,44,43,44,1,2,40,44
20041560,Agricultural Sciences,Nutrition,North Carolina State University,Nutrition,18,35,28,43,14,32,30,43,40,44
20029236,Agricultural Sciences,Nutrition,Ohio State University Main Campus,"Nutrition Program, The Ohio State University",9,29,4,20,4,19,3,24,26,38
20018674,Agricultural Sciences,Nutrition,Oregon State University,Nutrition and Food Management,17,33,25,39,38,43,27,39,12,35
20031622,Agricultural Sciences,Nutrition,Penn State University,Nutritional Sciences,2,11,3,15,3,16,22,36,24,38
20055860,Agricultural Sciences,Nutrition,Purdue University Main Campus,Foods and Nutrition,8,23,7,20,14,32,5,25,14,34
20012670,Agricultural Sciences,Nutrition,Rutgers The State University of New Jersey New Brunswick Campus,Nutritional Sciences,16,31,11,29,5,24,5,28,11,26
20021687,Agricultural Sciences,Nutrition,Texas A & M University,Nutrition,11,27,10,29,5,23,15,34,32,40
20029744,Agricultural Sciences,Nutrition,Tufts University,Nutrition,1,7,1,9,1,9,10,29,17,34
20048644,Agricultural Sciences,Nutrition,University of Alabama At Birmingham,Nutrition Sciences,10,35,8,25,5,25,3,23,11,27
20034182,Agricultural Sciences,Nutrition,University of Arizona,Nutritional Science,8,26,16,32,11,31,15,34,13,33
20061090,Agricultural Sciences,Nutrition,University of California-Berkeley,Molecular and Biochemical Nutrition,4,22,1,8,1,9,7,27,24,38
20067337,Agricultural Sciences,Nutrition,University of California-Davis,Nutritional Biology (Nutrition),1,6,5,20,5,22,13,32,13,31
20024192,Agricultural Sciences,Nutrition,University of Connecticut,Nutritional Science PhD,9,29,12,29,11,33,5,29,12,27
20013132,Agricultural Sciences,Nutrition,University of Florida,Food Science and Human Nutrition: Nutritional Sciences,7,22,9,26,9,24,5,35,15,37
20019725,Agricultural Sciences,Nutrition,University of Georgia,Foods & Nutrition,35,44,19,34,31,42,3,25,1,2
20042909,Agricultural Sciences,Nutrition,University of Illinois At Chicago,Human Nutrition,32,41,22,40,16,36,24,38,6,10
20039226,Agricultural Sciences,Nutrition,University of Illinois At Urbana-Champaign,Nutritional Science,3,21,2,11,2,13,3,18,14,31
20028318,Agricultural Sciences,Nutrition,University of Kentucky,Nutritional Sciences,10,27,5,20,8,28,5,30,31,42
20050438,Agricultural Sciences,Nutrition,University of Maryland College Park,Nutrition,38,43,34,43,35,43,32,42,4,7
20040150,Agricultural Sciences,Nutrition,University of Minnesota-Twin Cities,Nutrition,5,16,6,22,3,17,9,35,12,31
20017112,Agricultural Sciences,Nutrition,University of Nebraska - Lincoln,Nutrition,28,38,40,44,39,43,10,33,22,39
20045456,Agricultural Sciences,Nutrition,University of North Carolina At Chapel Hill,Nutrition,1,8,1,7,2,14,4,24,10,23
20070722,Agricultural Sciences,Nutrition,University of North Carolina At Greensboro,Nutrition,26,39,26,42,23,40,3,24,8,14
20065083,Agricultural Sciences,Nutrition,University of Rhode Island,Nutrition & Food Sciences,1,30,26,41,14,33,13,32,36,44
20032838,Agricultural Sciences,Nutrition,University of Southern Mississippi,Nutrition & Food Systems,29,42,30,44,14,38,9,39,3,6
20045951,Agricultural Sciences,Nutrition,University of Tennessee,Nutrition,7,30,18,33,27,39,4,33,14,35
20061744,Agricultural Sciences,Nutrition,University of Texas At Austin,Nutritional Sciences,17,42,30,43,21,37,40,44,20,39
20059866,Agricultural Sciences,Nutrition,University of Washington,Nutritional Sciences,8,28,4,20,4,20,15,42,11,28
20030940,Agricultural Sciences,Nutrition,University of Wisconsin-Madison,Nutritional Sciences,1,12,1,7,1,7,7,31,33,42
20062727,Agricultural Sciences,Nutrition,Utah State University,Nutrition and Food Sciences (AG),Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked
20044622,Agricultural Sciences,Nutrition,Virginia Polytechnic Institute And State University,"Human Nutrition, Foods and Exercise",14,30,21,35,29,40,5,32,40,44
20058472,Agricultural Sciences,Nutrition,Washington State University,Graduate Program in Nutrition,28,40,19,39,18,39,14,42,9,26
20021399,Agricultural Sciences,Nutrition,Wayne State University,Nutrition and Food Science,30,41,23,39,23,38,3,30,4,7
20037752,Agricultural Sciences,Plant Sciences,Auburn University,Agronomy and Soils,82,109,91,110,64,111,83,106,12,33
20037914,Agricultural Sciences,Plant Sciences,Auburn University,Horticulture,112,116,115,116,112,116,82,110,22,55
20038023,Agricultural Sciences,Plant Sciences,Auburn University,Plant Pathology,88,112,57,106,18,95,73,101,65,94
20017963,Agricultural Sciences,Plant Sciences,Claremont Graduate University,Botany,69,113,12,56,22,87,4,75,19,54
20016870,Agricultural Sciences,Plant Sciences,Clemson University,Plant and Environmental Sciences,31,79,40,90,26,92,4,40,70,93
20056377,Agricultural Sciences,Plant Sciences,Colorado State University,Horticulture,107,115,104,115,65,113,94,113,48,81
20015855,Agricultural Sciences,Plant Sciences,Cornell University,Horticulture,13,74,42,97,31,103,73,100,42,69
20016058,Agricultural Sciences,Plant Sciences,Cornell University,Plant Biology,6,22,22,68,9,53,89,108,28,58
20016061,Agricultural Sciences,Plant Sciences,Cornell University,Plant Breeding,4,23,1,11,1,11,21,67,13,32
20016074,Agricultural Sciences,Plant Sciences,Cornell University,Plant Pathology,7,63,21,73,23,86,30,81,25,60
20016155,Agricultural Sciences,Plant Sciences,Cornell University,Soil and Crop Sciences,14,52,20,72,31,96,40,92,21,45
20046581,Agricultural Sciences,Plant Sciences,Indiana University At Bloomington,Plant Sciences,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked
20016388,Agricultural Sciences,Plant Sciences,Iowa State University,Crop Production & Physiology,49,103,70,105,56,106,53,103,18,43
20016508,Agricultural Sciences,Plant Sciences,Iowa State University,Horticulture,80,111,106,115,109,116,36,92,44,75
20016663,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Breeding,11,55,12,55,5,32,10,61,39,74
20016676,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Pathology,39,97,47,104,20,87,10,56,78,102
20016689,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Physiology,15,44,11,51,7,48,32,82,7,17
20028486,Agricultural Sciences,Plant Sciences,Kansas State University,Agronomy and Crop Sciences,35,98,46,98,21,93,79,108,100,110
20028635,Agricultural Sciences,Plant Sciences,Kansas State University,Horticultural Science,81,111,98,113,96,114,3,54,19,54
20028703,Agricultural Sciences,Plant Sciences,Kansas State University,Plant Pathology,12,49,6,36,5,35,1,21,30,67
20057952,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Agronomy,42,94,62,100,65,107,78,103,87,104
20058155,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Horticulture,103,115,105,115,82,114,115,116,75,104
20058236,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Plant Health,79,105,83,109,86,114,14,78,73,102
20046866,Agricultural Sciences,Plant Sciences,Michigan State University,Crop and Soil Sciences,7,45,4,27,6,44,2,28,97,109
20047014,Agricultural Sciences,Plant Sciences,Michigan State University,Horticulture,19,66,11,47,13,75,15,64,4,7
